forecast_date,party,prob_majority,seats_pct_05,seats_avg,seats_pct_95,vote_pct_05,vote_avg,vote_pct_95
2026-04-19,dem,0.5991,201,221.9823,248,0.468098583,0.521703546,0.575251766
2026-04-19,rep,0.4009,187,213.0177,234,0.424748234,0.478296454,0.531901417
2026-04-20,dem,0.562,199,220.7184,247,0.466513571,0.518865309,0.571667371
2026-04-20,rep,0.438,188,214.2816,236,0.428332629,0.481134691,0.533486429
2026-04-21,dem,0.631,199,224.0515,254,0.467858134,0.525736138,0.583357824
2026-04-21,rep,0.369,181,210.9485,236,0.416642176,0.474263862,0.532141866
2026-04-22,dem,0.6474,200,225.0711,257,0.469024875,0.527585732,0.585865186
2026-04-22,rep,0.3526,178,209.9289,235,0.414134814,0.472414268,0.530975125
2026-04-23,dem,0.6309,199,224.0633,254,0.466750346,0.525475508,0.58371017
2026-04-23,rep,0.3691,181,210.9367,236,0.41628983,0.474524492,0.533249654
2026-04-24,dem,0.6598,201,225.7061,257,0.470709839,0.528981643,0.586506746
2026-04-24,rep,0.3402,178,209.2939,234,0.413493254,0.471018357,0.529290161
2026-04-25,dem,0.6722,202,225.642,256,0.47232491,0.529089471,0.586988378
2026-04-25,rep,0.3278,179,209.358,233,0.413011622,0.470910529,0.52767509
2026-04-26,dem,0.6704,201,225.8511,257,0.470637082,0.529107104,0.587655183
2026-04-26,rep,0.3296,178,209.1489,234,0.412344817,0.470892896,0.529362918
2026-04-27,dem,0.673,202,225.5366,256,0.471355443,0.528786607,0.585815116
2026-04-27,rep,0.327,179,209.4634,233,0.414184884,0.471213393,0.528644557
2026-04-28,dem,0.6371,201,223.9153,252,0.4680659,0.525366312,0.581521699
2026-04-28,rep,0.3629,183,211.0847,234,0.418478301,0.474633688,0.5319341
2026-04-29,dem,0.7107,203,227.7619,260,0.47539634,0.533536469,0.592378049
2026-04-29,rep,0.2893,175,207.2381,232,0.407621951,0.466463531,0.52460366
2026-04-30,dem,0.7401,204,228.8756,261,0.476830453,0.535002444,0.592840629
2026-04-30,rep,0.2599,174,206.1244,231,0.407159371,0.464997556,0.523169547
2026-05-01,dem,0.789,206,231.9615,265,0.481914495,0.541124515,0.599012923
2026-05-01,rep,0.211,170,203.0385,229,0.400987077,0.458875485,0.518085505
2026-05-02,dem,0.8056,206,233.4557,268,0.484185909,0.544047815,0.602838006
2026-05-02,rep,0.1944,167,201.5443,229,0.397161994,0.455952185,0.515814091
2026-05-03,dem,0.7794,205,231.5342,265,0.481406156,0.539777403,0.598276277
2026-05-03,rep,0.2206,170,203.4658,230,0.401723723,0.460222597,0.518593844
2026-05-04,dem,0.7764,205,231.1433,265,0.480929834,0.539107239,0.597614155
2026-05-04,rep,0.2236,170,203.8567,230,0.402385845,0.460892761,0.519070166
2026-05-05,dem,0.7717,205,231.1834,265,0.479717314,0.539183052,0.597105347
2026-05-05,rep,0.2283,170,203.8166,230,0.402894653,0.460816948,0.520282686
2026-05-06,dem,0.7758,206,231.6502,265.05,0.481343701,0.540050503,0.597606123
2026-05-06,rep,0.2242,169.95,203.3498,229,0.402393877,0.459949497,0.518656299
2026-05-07,dem,0.7151,203,227.5109,258,0.4737941,0.531851655,0.587182792
2026-05-07,rep,0.2849,177,207.4891,232,0.412817208,0.468148345,0.5262059
2026-05-08,dem,0.7091,203,227.5843,259,0.473848176,0.531774141,0.588647044
2026-05-08,rep,0.2909,176,207.4157,232,0.411352956,0.468225859,0.526151824
2026-05-09,dem,0.7228,203,228.149,260,0.473413559,0.532689683,0.589891281
2026-05-09,rep,0.2772,175,206.851,232,0.410108719,0.467310317,0.526586441
2026-05-10,dem,0.7228,203,228.149,260,0.473413559,0.532689683,0.589891281
2026-05-10,rep,0.2772,175,206.851,232,0.410108719,0.467310317,0.526586441
2026-05-11,dem,0.7452,204,229.8402,263,0.478017198,0.536333509,0.59482461
2026-05-11,rep,0.2548,172,205.1598,231,0.40517539,0.463666491,0.521982802
2026-05-12,dem,0.7459,204,229.5542,262,0.477760832,0.535658067,0.593026318
2026-05-12,rep,0.2541,173,205.4458,231,0.406973682,0.464341933,0.522239168
2026-05-13,dem,0.7459,204,229.2875,261,0.477805604,0.535130232,0.592402341
2026-05-13,rep,0.2541,174,205.7125,231,0.407597659,0.464869768,0.522194396
2026-05-14,dem,0.7279,203,228.9911,263,0.477035573,0.535030369,0.593681797
2026-05-14,rep,0.2721,172,206.0089,232,0.406318203,0.464969631,0.522964427
2026-05-15,dem,0.7286,204,228.3471,260,0.478063697,0.533800013,0.590390594
2026-05-15,rep,0.2714,175,206.6529,231,0.409609406,0.466199987,0.521936303
2026-05-16,dem,0.7243,204,228.0659,259,0.478940429,0.533309548,0.589972009
2026-05-16,rep,0.2757,176,206.9341,231,0.410027991,0.466690452,0.521059571
2026-05-17,dem,0.7207,203,228.474,260,0.477907072,0.533966952,0.590692946
2026-05-17,rep,0.2793,175,206.526,232,0.409307054,0.466033048,0.522092928
2026-05-18,dem,0.7606,204.95,229.9175,262,0.48021634,0.537077455,0.593268348
2026-05-18,rep,0.2394,173,205.0825,230.05,0.406731652,0.462922545,0.51978366
2026-05-19,dem,0.7227,204,228.218,260,0.477541582,0.533626445,0.59083997
